 2.44200244E-004 1.00000000E+000 0.00000000E+000 1.00000000E+000
 4.88400488E-004 1.00000000E+000 0.00000000E+000 1.00000000E+000
 7.32600733E-004 1.00000000E+000 0.00000000E+000 1.00000000E+000
 9.76800977E-004 1.00000000E+000 0.00000000E+000 1.00000000E+000
 1.22100122E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 1.46520147E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 1.70940171E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 1.95360195E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 2.19780220E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 2.44200244E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 2.68620269E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 2.93040293E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 3.17460317E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 3.41880342E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 3.66300366E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 3.90720391E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 4.15140415E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 4.39560440E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 4.63980464E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 4.88400488E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 5.12820513E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 5.37240537E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 5.61660562E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 5.86080586E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 6.10500611E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 6.34920635E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 6.59340659E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 6.83760684E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 7.08180708E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 7.32600733E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 7.57020757E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 7.81440781E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 8.05860806E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 8.30280830E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 8.54700855E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 8.79120879E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 9.03540904E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 9.27960928E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 9.52380952E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 9.76800977E-003 1.00000000E+000 0.00000000E+000 1.00000000E+000
 1.00122100E-002 1.00000000E+000 0.00000000E+000 1.00000000E+000
 1.02564103E-002 1.00000000E+000 0.00000000E+000 1.00000000E+000
 1.05006105E-002 1.00000000E+000 0.00000000E+000 1.00000000E+000
 1.07448107E-002 1.00000000E+000 0.00000000E+000 1.00000000E+000
 1.09890110E-002 1.00000000E+000 0.00000000E+000 1.00000000E+000
 1.12332112E-002 1.00000000E+000 0.00000000E+000 1.00000000E+000
 1.14774115E-002 1.00000000E+000 0.00000000E+000 1.00000000E+000
 1.17216117E-002 1.00000000E+000 0.00000000E+000 1.00000000E+000
 1.19658120E-002 1.00000000E+000 0.00000000E+000 1.00000000E+000
 1.22100122E-002 1.00000000E+000 0.00000000E+000 1.00000000E+000
 1.24542125E-002 1.00000000E+000 0.00000000E+000 1.00000000E+000
 1.26984127E-002 1.00000000E+000 0.00000000E+000 1.00000000E+000
